ID_venta,ID_promocion
3592,2
3132,1
3227,2
3342,1
3026,2
3446,1
2997,2
3233,1
3213,2
3517,1
3435,1
2916,1
2981,1
3312,1
3013,2
3237,1
3123,1
2986,2
2917,1
3297,2
3558,1
3474,1
3040,2
3338,1
3255,1
3110,2
3390,2
3392,1
3431,1
3013,1
2982,1
3139,1
3063,1
3429,2
2924,1
3336,1
2996,2
3128,2
3277,1
3579,2
2967,1
3152,2
3057,1
2929,2
3291,2
3029,2
3395,2
3484,2
3215,2
2981,1
2929,1
3346,1
3308,2
3315,2
3118,1
3560,2
2913,2
3378,2
3115,1
3238,1
3505,2
3294,1
3472,1
3195,1
3061,2
2948,2
3034,1
3423,2
3267,1
3583,2
3451,1
3285,1
2938,1
3325,2
3600,2
3259,2
3326,1
3146,2
3066,1
3525,1
3597,2
2935,1
3316,1
3025,1
3533,2
3563,2
3262,1
3412,2
3206,2
3548,2
3113,2
3378,1
3325,2
3453,2
3293,1
3164,2
2977,2
3208,1
3079,2
3120,1
3165,2
3160,2
3564,1
3333,1
3055,1
2995,1
3213,1
3417,2
3156,1
3298,1
3505,1
3143,2
3300,2
3514,2
3229,1
3082,2
3240,1
3484,2
3458,2
3050,1
2982,2
3316,1
3365,2
3372,2
3430,1
3218,1
3323,2
2982,2
3172,2
3169,2
3199,1
3320,1
3409,2
3336,1
3366,1
3217,1
3381,2
3160,1
2914,1
3515,2
2989,1
3576,1
3468,2
2927,1
3362,2
3117,2
3547,1
3183,2
3069,1
3017,1
3403,1
3042,2
3533,2
3540,2
3426,1
3242,1
3235,1
3171,2
3398,2
3127,1
2938,1
3312,2
3226,1
3002,1
3524,2
3315,1
2923,2
3115,2
3545,1
3313,1
3041,2
3274,2
3454,2
3524,2
3451,1
3104,2
3573,2
3049,1
3524,2
3424,1
3468,1
3134,1
3299,2
3201,2
3130,1
3414,2
3427,2
3449,1
3039,1
3005,1
3234,2
3191,1
3350,2
3559,1
2949,2
3050,2
3014,1
2920,2
3445,2
3520,1
2914,1
3520,1
3163,1
3518,1
3339,1
3598,1
3271,1
3233,2
3447,2
3473,2
3114,1
3016,2
3339,1
3016,2
3213,1
3208,2
3301,1
2951,1
3348,2
3273,1
3299,2
3109,2
2948,1
3011,2
3181,2
3473,2
3563,1
3388,2
2957,1
3458,2
3511,1
3053,2
3050,1
3205,1
3507,2
3246,2
3578,1
3558,2
3457,2
2986,2
3291,2
3162,2
3413,1
3000,2
3359,2
3528,2
3563,1
3411,1
3228,1
3531,2
